Protein_ID,Gene,S1,S2,S3,R1,R2,R3
O95169,NDUFB8,-2.66433,-0.400797,-0.665918,-0.491385,-2.5287,-0.712391
Q9Y6M9,NDUFB9,0.454031,-0.464352,-0.666485,-0.70122,-1.73607,-0.44553
O95298,NDUFC2,-1.58484,0.316858,0.443989,0.492704,0.389566,0.427933
P28331,NDUFS1,1.51753,1.21696,0.790546,0.845158,0.963474,0.813824
O75306,NDUFS2,-0.604862,-0.0127106,-0.0395279,-0.161966,-0.149452,-0.209625
O75489,NDUFS3,1.04858,1.31686,1.18286,0.914532,0.992769,0.967299
O43181,NDUFS4,-0.526859,-0.961161,-1.47124,-1.12221,-1.31439,-1.22413
O43920,NDUFS5,-1.73674,-0.174677,-0.478167,-0.214634,-0.857304,-0.277021
O75380,NDUFS6,-0.0265942,0.0125999,-0.12199,-0.105932,-0.258842,0.129852
O75251,NDUFS7,-0.443871,-0.13245,-0.321234,-0.498817,-1.04225,-0.708685
O00217,NDUFS8,1.79886,0.987289,0.554312,0.379494,0.887526,0.493734
P49821,NDUFV1,0.825125,0.88821,0.424753,0.597673,-0.166071,0.521042
P19404,NDUFV2,2.10938,1.79282,1.27167,1.61027,1.76977,1.49832
Q9NVZ3,NECAP2,1.28591,0.0497532,-0.0130558,-0.280542,-0.0404491,-0.0729656
Q92692,NECTIN2,0.990084,-0.532019,-0.493555,-0.404696,-0.217258,-0.312086
Q8NHV4,NEDD1,-3.3851,-2.05447,-2.10629,-1.77327,-1.40192,-1.86329
P46934,NEDD4,-0.741365,-0.316927,-0.533339,-0.459743,-2.02467,-0.598839
Q96PU5,NEDD4L,-1.85639,-0.930483,-0.965174,-0.918722,-0.607464,-1.6594
Q15843,NEDD8,2.56951,2.91866,2.92155,3.13111,2.39506,3.35393
P12036,NEFH,1.65148,-0.693111,-2.13638,-0.949423,-0.56946,-0.942595
P07196,NEFL,4.03498,1.45713,3.17353,-1.42087,-1.61316,-1.69576
P07197,NEFM,2.45403,-0.498003,0.255432,-2.01568,-1.38017,-1.65627
Q8TDX7;Q9HC98,NEK7,0.236439,-1.00247,-1.02764,-0.622658,-0.695517,-0.667736
Q8TD19,NEK9,-1.42072,0.0740013,0.0510731,-0.0128231,0.0703907,0.0817566
Q9H3P2,NELFA,-1.94678,-0.445921,-0.512552,-0.474348,0.214125,-0.287119
Q8WX92,NELFB,-1.53477,-0.091423,-0.12199,0.134018,0.0143566,0.0817566
Q8IXH7,NELFCD,-0.730394,-1.1752,-1.19281,-0.999638,-1.10504,-0.760878
P18615,NELFE,-2.90311,-0.768095,-0.760071,-0.773672,-0.625467,-0.777725
O60524,NEMF,-0.399748,-1.17651,-1.10124,-0.843439,-0.470428,-0.774443
O14524,NEMP1,1.77996,-0.95483,-1.16773,-0.745003,-0.98126,-0.71056
Q9UMX5,NENF,-0.391083,1.06193,0.980371,1.09271,1.39506,1.09393
Q92859,NEO1,-1.32195,-2.29689,-3.11032,-2.91422,-2.45131,-2.32941
Q99519,NEU1,-2.40426,-1.62881,-1.34768,-1.4993,-1.79523,-1.31809
P21359,NF1,-4.44522,-4.39812,-4.4155,-4.37771,-4.33011,-3.9754
Q8NCF5,NFATC2IP,-1.41539,-0.917189,-0.982241,-1.03776,0.0565834,-0.731661
O00712,NFIB,-1.16891,-2.17438,-2.22612,-2.46599,-1.99191,-2.19827
P08651,NFIC,0.0453911,1.38628,1.51392,1.6515,1.79077,1.45178
P19838,NFKB1,1.60242,0.189478,0.271673,0.202188,-0.445679,0.0817566
Q00653,NFKB2,-0.307182,0.121307,0.124447,0.483603,0.214125,0.493734
Q15653,NFKBIB,-2.59917,-2.03539,-2.16449,-1.86701,-2.23885,-2.10276
Q9Y697,NFS1,-1.24001,0,0,-0.0128231,-0.220913,-0.0866394
Q9UMS0,NFU1,-1.46355,-1.0008,-0.919321,-1.03397,-0.524496,-0.99563
Q6ZNB6,NFXL1,1.77996,-3.30107,-4.04678,-3.25356,-3.35263,-3.26942
P25208,NFYB,0.39012,0.0374756,0.205584,-0.0257626,-1.15875,0.0817566
Q13952,NFYC,-0.489386,-0.654749,-0.702513,-0.564697,-0.609472,-1.28129
Q8NEJ9,NGDN,-2.15515,-1.27726,-1.29192,-1.27666,-1.05296,-1.22012
Q96IV0,NGLY1,-0.993427,-1.2101,-1.72762,-1.47035,-1.00353,-1.64456
O14745,NHERF1,-0.941898,-0.248653,-0.242472,-0.218651,0.238787,-0.15703
Q15599,NHERF2,-2.49325,-1.90781,-1.80405,-2.10731,-2.1348,-1.97056
Q8NBF2,NHLRC2,1.86907,0.88821,0.967134,0.921288,0.773996,0.82847
Q9NX24,NHP2,-1.53245,-0.260439,-0.268383,0.0867119,0.555817,0.069479
Q96TA1,NIBAN2,1.65566,1.96153,2.10947,1.81282,1.82782,1.68293
Q9GZT8,NIF3L1,1.1589,0.461731,0.545433,0.655554,-1.51292,0.418283
Q9BYG3,NIFK,-0.526859,-0.684734,-0.840324,-0.2967,-0.225155,-0.290907
Q9Y221,NIP7,-0.0743484,-0.648634,-0.437416,-0.400534,-0.779863,-0.578701
Q6KC79,NIPBL,-0.809004,-0.632898,-0.514927,-0.732033,-0.528536,-0.700119
Q9BPW8,NIPSNAP1,1.55613,1.41028,0.783012,0.597673,0.389566,0.538963
O75323,NIPSNAP2,-1.56016,0.306662,0.303616,-0.0922585,-0.221216,0.0192928
Q9UFN0;Q9BS92,NIPSNAP3A,-0.290972,-0.398848,-0.391781,-0.994368,-1.61363,-0.912905
Q86X76,NIT1,-1.57476,-0.13245,-0.0395279,0.0867119,-0.26156,-0.0327015
Q9NQR4,NIT2,0.52442,0.987289,1.0821,0.794531,1.20789,0.76897
Q8N5F7;Q5M9Q1,NKAP,-1.38328,-1.85466,-1.54976,-1.52192,-1.48431,-1.37714
Q9NYR9,NKIRAS2,-0.508001,-0.494459,-0.488216,-0.308062,-0.519184,-0.469198
Q9NVX2,NLE1,-0.282934,-0.703821,-0.532736,0.0127106,-0.909851,-0.924086
Q9BYT8,NLN,0.791265,0.155796,0.0635643,0.179821,0.485428,0.358986
Q86UT6,NLRX1,-1.42286,-1.44352,-1.28526,-1.42888,-0.99235,-1.3708
Q96D46,NMD3,0.344154,0.132895,-0.0262318,0.288345,0.0143566,0.187799
P15531,NME1,1.85639,2.62859,2.66091,2.67767,2.26604,1.9706
P22392;O60361,NME2,2.38003,5.22375,5.26222,5.3441,4.16993,5.11723
Q13232,NME3,-0.954609,0.658964,0.760172,0.483603,0.613533,0.547842
O75414,NME6,1.77996,-3.34762,-3.08589,-3.55956,-2.72184,-2.64561
Q9C002,NMES1,0.132103,-1.48377,-1.91928,-0.824394,-4.8415,-0.786219
Q13287,NMI,-1.38934,-2.13841,-1.21634,-2.21712,-1.30342,-2.069
Q9HAN9,NMNAT1,0.458832,-0.488085,-0.415108,-0.620502,-0.767479,-0.534418
Q9HBL8,NMRAL1,-1.60567,-1.01766,-0.9972,-0.770468,-0.91189,-0.895384
P30419,NMT1,-0.130932,1.38628,1.40034,1.43249,1.40599,1.35899
P40261,NNMT,2.24758,3.90689,4.14956,3.70142,3.65535,3.70095
Q13423,NNT,0.836237,1.68281,1.61073,1.27785,1.5008,1.31806
Q9ULX3,NOB1,0.338955,-0.0255337,0.0882263,0.319372,0.321928,0.27593
Q9Y3T9,NOC2L,-0.130932,-0.642897,-0.438524,-0.189491,-0.197121,-0.381235
Q8WTT2,NOC3L,0.52442,-0.696144,-0.753767,-0.220423,-0.0795441,-0.202667
Q9BVI4,NOC4L,-1.31761,-1.61876,-1.39091,-1.70414,-1.42867,-1.60054
Q9BSC4,NOL10,-1.30111,-1.70434,-1.73372,-1.51193,-0.751009,-1.70784
Q9H8H0,NOL11,-0.916807,-1.13392,-1.42987,-0.761108,-0.729673,-0.635204
O60936,NOL3,1.12608,1.9153,2.09128,2.05634,0.137505,1.72268
Q9H6R4,NOL6,-1.04687,-1.37062,-1.22874,-0.92387,-0.667286,-1.4037
